BGM:FREEDOM DIVE↓.mp3
BPM:222.22
ACC:2160
NOTE:1.8
COMP:xi
LV:17(MAX)
CC:xiang
#START



//


1,8,0,1
1,16,3
1,16,2

1,8,1
1,4,0
1,4,2
1,4,0
1,4,2
1,4,0
1,4,2
1,8,0

1,8,0
1,16,3
1,16,2

1,8,1
1,4,0
1,4,2
1,4,0
1,4,2
1,8,0

1,16,0
1,16,1
1,16,2
1,16,3
1,16,0
1,16,1
1,16,2
1,16,3

1,8,0
1,16,3
1,16,2
1,8,1
1,4,2
1,4,0
1,4,2
1,4,0
1,4,2
1,8,0
1,8,0


1,16,3
1,16,2
1,8,0

1,8,2
1,8,3
1,16,3
1,16,2

1,8,1
1,8,2
1,16,3
1,16,2
1,8,0

1,8,1
1,16,3
1,16,2

1,8,0
1,8,0

1,16,3
1,16,2
1,8,0

1,16,3
1,16,2
1,16,3
1,16,2


//2intro
1,8,1
1,8,2
1,1920,0
1,8,3
1,8,2

1,8,1
1,8,2
1,1920,0
1,8,3
1,8,2

1,8,1
1,8,2
1,1920,0
1,8,3
1,8,2

1,8,1
1,8,2
1,1920,0
1,8,3
1,8,2

1,8,2
1,8,1
1,1920,0
1,8,3
1,8,1

1,8,2
1,8,1
1,1920,0
1,8,3
1,8,1

1,8,2
1,8,1
1,1920,0
1,8,3
1,8,1

//3renpu
1,8,2
1,8,1
1,1920,0
1,8,3
1,8,1


1,8,1
1,8,2
1,1920,0
1,8,3
1,8,2

1,8,1
1,8,2
1,1920,0
1,8,3
1,8,2

1,8,1
1,8,2
1,1920,0
1,8,3
1,8,2

1,8,1
1,8,2
1,1920,0
1,8,3
1,8,2


1,8,2
1,8,1
1,1920,0
1,8,3
1,8,1

1,8,2
1,8,1
1,1920,0
1,8,3
1,8,1

1,8,2
1,8,1
1,1920,0
1,8,3
1,8,1

1,16,3
1,16,1
1,16,2
1,16,0
1,16,3
1,16,1
1,16,2
1,16,0

//3intro
1,8,0
1,8,2
1,1920,1
1,8,3
1,8,2

1,8,3
1,8,1
1,1920,0
1,8,2
1,8,1

1,8,0
1,8,2
1,1920,1
1,8,3
1,8,2

1,8,3
1,8,1
1,1920,0
